,Run,Domain info,QL
0,0,0_1,3.938004493713379
1,0,0_2,4.174855709075928
2,0,0_3,4.412606239318848
3,0,0_4,4.552709341049194
4,1,0_1,3.941053867340088
5,1,0_2,4.013846397399902
6,1,0_3,4.076444149017334
7,1,0_4,4.379275321960449
8,2,0_1,4.460982322692871
9,2,0_2,4.603508472442627
10,2,0_3,4.7666051387786865
11,2,0_4,4.676734209060669
12,3,0_1,4.277362585067749
13,3,0_2,4.26664662361145
14,3,0_3,4.4917895793914795
15,3,0_4,4.467147350311279
16,4,0_1,4.026900053024292
17,4,0_2,4.078101873397827
18,4,0_3,4.300132751464844
19,4,0_4,4.006829738616943
20,5,0_1,3.8969128131866455
21,5,0_2,4.203496932983398
22,5,0_3,4.222800970077515
23,5,0_4,4.428962230682373
24,6,0_1,4.211122751235962
25,6,0_2,4.292487621307373
26,6,0_3,4.473657131195068
27,6,0_4,4.421323776245117
28,7,0_1,4.1783764362335205
29,7,0_2,4.215037107467651
30,7,0_3,4.307707786560059
31,7,0_4,4.3539345264434814
32,8,0_1,3.8910186290740967
33,8,0_2,4.2955944538116455
34,8,0_3,4.258471727371216
35,8,0_4,4.3224265575408936
36,9,0_1,3.9241068363189697
37,9,0_2,4.079271078109741
38,9,0_3,4.339473724365234
39,9,0_4,4.5454888343811035
40,10,0_1,4.231683731079102
41,10,0_2,4.416027307510376
42,10,0_3,4.275910377502441
43,10,0_4,4.772546291351318
44,11,0_1,4.661014795303345
45,11,0_2,4.650728225708008
46,11,0_3,4.866169214248657
47,11,0_4,5.184394598007202
48,12,0_1,4.3511199951171875
49,12,0_2,4.881975889205933
50,12,0_3,5.575059175491333
51,12,0_4,6.122730255126953
52,13,0_1,5.251244783401489
53,13,0_2,5.1193296909332275
54,13,0_3,5.716629266738892
55,13,0_4,5.41054630279541
56,14,0_1,5.114133834838867
57,14,0_2,4.946491956710815
58,14,0_3,5.858540296554565
59,14,0_4,6.168083190917969
60,15,0_1,4.838859558105469
61,15,0_2,4.871318578720093
62,15,0_3,5.527246475219727
63,15,0_4,5.846052169799805
64,16,0_1,4.759788751602173
65,16,0_2,4.488749742507935
66,16,0_3,4.850055694580078
67,16,0_4,5.464120388031006
68,17,0_1,5.266693115234375
69,17,0_2,5.308643579483032
70,17,0_3,4.998225212097168
71,17,0_4,5.2550177574157715
72,18,0_1,4.605433464050293
73,18,0_2,4.879342317581177
74,18,0_3,5.185376167297363
75,18,0_4,5.256586313247681
76,19,0_1,4.782024145126343
77,19,0_2,5.583448886871338
78,19,0_3,5.826918125152588
79,19,0_4,5.625534772872925
80,20,0_1,4.6560378074646
81,20,0_2,4.528187036514282
82,20,0_3,5.0252580642700195
83,20,0_4,5.148561716079712
84,21,0_1,5.467183351516724
85,21,0_2,5.099267959594727
86,21,0_3,5.288768768310547
87,21,0_4,5.703078269958496
88,22,0_1,4.834936857223511
89,22,0_2,5.331205129623413
90,22,0_3,6.359173536300659
91,22,0_4,5.545969247817993
92,23,0_1,4.572014570236206
93,23,0_2,5.085835218429565
94,23,0_3,5.2778003215789795
95,23,0_4,5.714982032775879
96,24,0_1,5.683956146240234
97,24,0_2,5.943228244781494
98,24,0_3,5.6757283210754395
99,24,0_4,6.185384035110474
100,25,0_1,5.18087100982666
101,25,0_2,5.69614052772522
102,25,0_3,6.780903100967407
103,25,0_4,7.084085702896118
104,26,0_1,5.972343444824219
105,26,0_2,6.212317943572998
106,26,0_3,6.462117433547974
107,26,0_4,7.1588897705078125
108,27,0_1,6.082475423812866
109,27,0_2,5.995827913284302
110,27,0_3,5.973304986953735
111,27,0_4,6.3011181354522705
112,28,0_1,5.610656261444092
113,28,0_2,6.071343421936035
114,28,0_3,5.88826060295105
115,28,0_4,6.175750970840454
116,29,0_1,6.312120676040649
117,29,0_2,6.034270524978638
118,29,0_3,6.37576150894165
119,29,0_4,6.21589732170105
