,Run,Domain,|S|,|A|,Actions Pruned,QM
0,25,Dollar-Euro_0_1,45,4,104,6.693897485733032
1,25,Dollar-Euro_0_2,45,4,54,7.594316005706787
2,25,Dollar-Euro_0_3,45,4,30,7.167750835418701
3,25,Dollar-Euro_0_4,45,4,26,7.246590614318848
4,26,Dollar-Euro_0_1,45,4,104,5.665989875793457
5,26,Dollar-Euro_0_2,45,4,71,5.502875328063965
6,26,Dollar-Euro_0_3,45,4,43,5.805540561676025
7,26,Dollar-Euro_0_4,45,4,29,7.108680725097656
8,27,Dollar-Euro_0_1,45,4,104,5.505534648895264
9,27,Dollar-Euro_0_2,45,4,54,6.1938700675964355
10,27,Dollar-Euro_0_3,45,4,28,5.073110103607178
11,27,Dollar-Euro_0_4,45,4,26,5.427990674972534
12,28,Dollar-Euro_0_1,45,4,104,4.145318508148193
13,28,Dollar-Euro_0_2,45,4,53,4.500566005706787
14,28,Dollar-Euro_0_3,45,4,36,4.512185335159302
15,28,Dollar-Euro_0_4,45,4,34,4.604435443878174
16,29,Dollar-Euro_0_1,45,4,104,3.8124589920043945
17,29,Dollar-Euro_0_2,45,4,54,4.1230175495147705
18,29,Dollar-Euro_0_3,45,4,30,4.323980808258057
19,29,Dollar-Euro_0_4,45,4,27,4.631600856781006
