,Run,Domain info,QL
0,0,0_1,19.804677486419678
1,0,0_3,18.10594415664673
2,0,0_5,17.314213514328003
3,0,0_7,22.908509492874146
4,1,0_1,22.51550316810608
5,1,0_3,20.12851357460022
6,1,0_5,22.621315956115723
7,1,0_7,22.13734006881714
8,2,0_1,23.96118402481079
9,2,0_3,25.157713651657104
10,2,0_5,22.320658445358276
11,2,0_7,25.604276180267334
12,3,0_1,23.51603937149048
13,3,0_3,21.664221048355103
14,3,0_5,22.858503818511963
15,3,0_7,23.525689601898193
16,4,0_1,23.819037675857544
17,4,0_3,23.627811670303345
18,4,0_5,24.7530779838562
19,4,0_7,24.41986632347107
20,5,0_1,24.46174645423889
21,5,0_3,27.998723030090332
22,5,0_5,25.705894470214844
23,5,0_7,26.29376482963562
24,6,0_1,28.434349536895752
25,6,0_3,26.094447374343872
26,6,0_5,29.57510757446289
27,6,0_7,25.977243423461914
28,7,0_1,29.108595609664917
29,7,0_3,24.869579315185547
30,7,0_5,25.289896965026855
31,7,0_7,26.893669366836548
32,8,0_1,25.83702063560486
33,8,0_3,29.619877815246582
34,8,0_5,25.793450355529785
35,8,0_7,25.09902548789978
36,9,0_1,25.655885457992554
37,9,0_3,26.66631841659546
38,9,0_5,29.152153730392456
39,9,0_7,28.0628879070282
40,10,0_1,28.106445789337158
41,10,0_3,27.87248682975769
42,10,0_5,27.7928946018219
43,10,0_7,28.82997441291809
44,11,0_1,27.56203556060791
45,11,0_3,32.821693658828735
46,11,0_5,33.30262303352356
47,11,0_7,29.251265287399292
48,12,0_1,29.438507318496704
49,12,0_3,30.418750524520874
50,12,0_5,30.627444744110107
51,12,0_7,30.06602907180786
52,13,0_1,30.218375205993652
53,13,0_3,27.65055751800537
54,13,0_5,27.354766845703125
55,13,0_7,28.449613571166992
56,14,0_1,31.41619873046875
57,14,0_3,27.183960676193237
58,14,0_5,28.47086811065674
59,14,0_7,27.656728982925415
60,15,0_1,26.54897689819336
61,15,0_3,30.51772904396057
62,15,0_5,29.76535654067993
63,15,0_7,27.87651538848877
64,16,0_1,27.93629479408264
65,16,0_3,27.657623767852783
66,16,0_5,30.39211940765381
67,16,0_7,32.26113295555115
68,17,0_1,33.05789828300476
69,17,0_3,35.04225730895996
70,17,0_5,31.3455753326416
71,17,0_7,33.65401887893677
72,18,0_1,37.99816012382507
73,18,0_3,38.888707399368286
74,18,0_5,35.09136629104614
75,18,0_7,36.10532522201538
76,19,0_1,32.87004327774048
77,19,0_3,35.945202350616455
78,19,0_5,34.46871209144592
79,19,0_7,29.05226492881775
80,20,0_1,28.84904980659485
81,20,0_3,29.427749395370483
82,20,0_5,36.2733690738678
83,20,0_7,33.7989342212677
84,21,0_1,36.278884410858154
85,21,0_3,34.86921429634094
86,21,0_5,37.33987092971802
87,21,0_7,39.86534833908081
88,22,0_1,32.420565366744995
89,22,0_3,36.42767381668091
90,22,0_5,35.349310874938965
91,22,0_7,40.67208003997803
92,23,0_1,39.622495889663696
93,23,0_3,35.5260591506958
94,23,0_5,38.3921902179718
95,23,0_7,39.43824768066406
96,24,0_1,38.619545459747314
97,24,0_3,39.6202974319458
98,24,0_5,36.479992389678955
99,24,0_7,31.746578693389893
100,25,0_1,32.14304208755493
101,25,0_3,36.06206965446472
102,25,0_5,35.03060793876648
103,25,0_7,34.73660445213318
104,26,0_1,34.6934814453125
105,26,0_3,34.29857158660889
106,26,0_5,30.46836495399475
107,26,0_7,31.23904061317444
108,27,0_1,34.62664747238159
109,27,0_3,31.213791131973267
110,27,0_5,30.337260484695435
111,27,0_7,31.132128953933716
112,28,0_1,31.119971990585327
113,28,0_3,35.731348276138306
114,28,0_5,36.037338972091675
115,28,0_7,35.80692768096924
116,29,0_1,38.0672390460968
117,29,0_3,33.997639179229736
118,29,0_5,34.05975604057312
119,29,0_7,33.428502798080444
