,Run,Domain,|S|,|A|,Actions Pruned,QM
0,10,RT_0_1,49,7,177,31.02993679046631
1,10,RT_0_3,49,7,72,36.921560525894165
2,10,RT_0_5,49,7,47,33.037039041519165
3,10,RT_0_7,49,7,32,38.33686137199402
4,11,RT_0_1,49,7,177,27.8019118309021
5,11,RT_0_3,49,7,79,33.67762613296509
6,11,RT_0_5,49,7,43,34.97295331954956
7,11,RT_0_7,49,7,43,33.09349799156189
8,12,RT_0_1,49,7,177,29.606184244155884
9,12,RT_0_3,49,7,75,38.29091668128967
10,12,RT_0_5,49,7,60,45.57908821105957
11,12,RT_0_7,49,7,54,43.60706329345703
12,13,RT_0_1,49,7,177,33.47871422767639
13,13,RT_0_3,49,7,84,30.712404251098633
14,13,RT_0_5,49,7,63,42.94587016105652
15,13,RT_0_7,49,7,43,44.81414866447449
16,14,RT_0_1,49,7,177,35.394461154937744
17,14,RT_0_3,49,7,74,43.83426094055176
18,14,RT_0_5,49,7,59,44.74468421936035
19,14,RT_0_7,49,7,40,47.540862798690796
