,Run,Domain,|S|,|A|,Actions Pruned,QM
0,5,ours_1,67,12,556,14.445428371429443
1,5,ours_5,67,12,33,38.46198105812073
2,5,ours_9,67,12,11,28.579474210739136
3,6,ours_1,69,20,1023,9.057830095291138
4,6,ours_5,69,20,81,12.543389558792114
5,6,ours_9,69,20,9,25.202765226364136
6,7,ours_1,15,12,99,12.21058702468872
7,7,ours_5,15,12,51,14.343792200088501
8,7,ours_9,15,12,47,15.713813066482544
9,8,ours_1,36,14,357,9.391386985778809
10,8,ours_5,36,14,269,16.813097953796387
11,8,ours_9,36,14,236,19.689107418060303
12,9,ours_1,69,16,864,6.482907772064209
13,9,ours_5,69,16,81,12.22964358329773
14,9,ours_9,69,16,60,23.474313974380493
