,Run,Domain,|S|,|A|,Actions Pruned,QM,optimal_pruned
0,20,ours_1,18,16,175,13.777893781661987,0
1,20,ours_3,18,16,0,23.65344738960266,0
2,20,ours_5,18,16,0,36.71253180503845,0
3,21,ours_1,70,13,732,40.49771690368652,0
4,21,ours_3,70,13,0,101.424884557724,0
5,21,ours_5,70,13,0,111.41447806358337,0
6,22,ours_1,59,14,639,14.768680095672607,0
7,22,ours_3,59,14,0,39.348546504974365,0
8,22,ours_5,59,14,0,58.65867304801941,0
9,23,ours_1,73,9,428,34.21273756027222,0
10,23,ours_3,73,9,0,77.46497702598572,0
11,23,ours_5,73,9,62,57.88864016532898,0
12,24,ours_1,60,15,666,12.928464412689209,0
13,24,ours_3,60,15,137,17.55833673477173,0
14,24,ours_5,60,15,0,33.511799335479736,0
15,25,ours_1,59,11,496,17.808335542678833,0
16,25,ours_3,59,11,0,32.075241804122925,0
17,25,ours_5,59,11,0,37.4996235370636,0
18,26,ours_1,58,20,917,27.028310775756836,0
19,26,ours_3,58,20,270,30.793197870254517,0
20,26,ours_5,58,20,0,63.531116008758545,0
21,27,ours_1,38,13,364,21.067151069641113,0
22,27,ours_3,38,13,0,41.34625816345215,0
23,27,ours_5,38,13,85,29.568463802337646,0
24,28,ours_1,45,9,298,29.00301480293274,0
25,28,ours_3,45,9,0,42.01789379119873,0
26,28,ours_5,45,9,0,59.338921546936035,0
27,29,ours_1,71,15,799,17.651898622512817,0
28,29,ours_3,71,15,0,39.69648766517639,0
29,29,ours_5,71,15,102,27.872847318649292,0
